2019-03-29_21 21:00:06.640 INFO  [localhost-startStop-1] org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2019-03-29_21 21:00:06.640 INFO  [localhost-startStop-1] org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2019-03-29_21 21:00:06.640 INFO  [localhost-startStop-1] org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2019-03-29_21 21:00:06.640 INFO  [localhost-startStop-1] org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2019-03-29_21 21:00:06.640 INFO  [localhost-startStop-1] org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'webRequestLoggingFilter' to: [/*]
2019-03-29_21 21:00:06.640 INFO  [localhost-startStop-1] org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'webStatFilter' to urls: [/*]
2019-03-29_21 21:00:06.641 INFO  [localhost-startStop-1] org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'shiroFilter' to: [/*]
2019-03-29_21 21:00:06.641 INFO  [localhost-startStop-1] org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'applicationContextIdFilter' to: [/*]
2019-03-29_21 21:00:06.677 INFO  [main] com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure - Init DruidDataSource
2019-03-29_21 21:00:07.316 INFO  [main] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-03-29_21 21:00:07.745 INFO  [main] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
2019-03-29_21 21:00:07.755 INFO  [main] org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2019-03-29_21 21:00:07.802 INFO  [main] org.hibernate.Version - HHH000412: Hibernate Core {5.0.12.Final}
2019-03-29_21 21:00:07.803 INFO  [main] org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2019-03-29_21 21:00:07.804 INFO  [main] org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
2019-03-29_21 21:00:07.810 INFO  [main] org.hibernate.spatial.integration.SpatialService - HHH80000001: hibernate-spatial integration enabled : true
2019-03-29_21 21:00:07.840 INFO  [main] org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2019-03-29_21 21:00:07.928 INFO  [main] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
